issue_number,draw_date,red_ball_1,red_ball_2,red_ball_3,red_ball_4,red_ball_5,red_ball_6,blue_ball_1,sales_amount,jackpot_amount
24143,226,2,5,11,22,30,33,10,7936178,
24142,178,4,6,13,21,22,25,6,5840382,
24141,188,1,2,7,15,24,29,12,6385169,
24140,180,4,7,8,17,22,26,15,9931134,
24139,97,15,16,20,22,23,29,14,7433686,
24138,307,2,7,11,21,27,28,2,6031367,
24137,855,4,9,10,19,26,27,12,5291924,
24136,131,3,11,15,21,25,26,3,7126819,
24135,256,5,11,17,18,30,31,13,6358348,
24134,103,2,4,13,16,18,20,16,10000000,
24133,128,1,11,15,27,30,33,1,6215178,
24132,87,1,4,25,27,28,33,3,9262921,
24131,236,4,5,11,15,20,32,13,6477046,
24130,135,1,8,12,17,19,24,16,8258734,
24129,120,9,10,13,19,24,32,1,6564961,
24128,118,1,8,13,18,20,26,16,10000000,
24127,165,2,5,13,20,27,32,10,10000000,
24126,69,14,18,23,24,26,33,10,7899383,
24125,419,1,4,13,18,26,30,3,7049350,
24124,80,2,14,15,17,25,30,11,8675507,
24123,84,2,15,22,26,30,33,4,7811149,
24122,228,5,7,9,16,17,29,15,6842408,
24121,68,1,7,10,13,27,33,3,6509256,
24120,183,1,5,7,11,18,19,7,5809161,
24119,72,2,9,26,27,31,32,14,10000000,
24118,64,2,3,4,6,11,15,14,9295085,
24117,113,3,12,14,16,29,32,12,9643552,
24116,66,1,15,20,22,31,32,3,10000000,
24115,178,3,10,11,19,27,28,7,5193979,
24114,250,7,11,18,24,27,32,4,8359466,
24113,65,4,5,23,24,26,31,11,10000000,
24112,163,8,11,16,25,29,32,3,6945481,
24111,178,1,4,11,12,22,30,16,6770241,
24110,69,4,13,17,23,25,33,14,10000000,
24109,72,3,4,24,28,29,33,9,6920631,
24108,139,1,8,9,23,24,30,8,6743322,
24107,90,1,6,8,13,17,19,9,5505283,
24106,208,3,8,11,22,31,33,4,6945786,
24105,62,2,5,17,19,29,33,4,7983113,
24104,206,5,16,23,24,26,29,4,6546611,
24103,115,12,21,23,27,32,33,15,7570038,
24102,197,9,15,18,21,22,25,1,8500888,
24101,103,8,12,15,17,19,30,8,6191911,
24100,79,13,14,19,20,27,30,5,10000000,
24099,92,4,12,17,24,26,27,16,7097651,
24098,171,3,8,10,20,30,31,2,7358066,
24097,40,4,10,12,13,18,30,3,10000000,
24096,203,2,4,14,18,23,27,13,10000000,
24095,199,4,6,9,14,16,21,3,5582857,
24094,273,6,13,17,22,25,27,9,5000000,
24093,148,1,5,7,11,12,15,12,10000000,
24092,234,3,8,11,12,18,29,5,6068073,
24091,88,13,15,16,19,20,24,10,10000000,
24090,85,7,11,17,24,31,32,12,7608042,
24089,166,3,6,9,15,18,31,1,6626327,
24088,135,3,8,10,17,30,32,10,10000000,
24087,131,3,9,18,19,20,26,11,5228549,
24086,61,17,19,20,23,25,31,2,10000000,
24085,106,1,5,15,21,23,27,15,9820923,
24084,98,1,8,10,13,19,29,13,9498987,
24083,101,3,9,14,29,32,33,15,7801042,
24082,89,1,2,13,16,17,29,16,10000000,
24081,501,1,6,12,17,23,25,4,6976154,
24080,197,6,11,12,27,29,30,13,7278585,
24079,324,2,3,6,7,16,26,4,6615076,
24078,171,5,9,14,21,22,26,12,5673644,
24077,92,1,4,6,14,17,22,8,7552556,
24076,80,3,22,24,27,29,32,15,10000000,
24075,320,3,5,8,18,22,28,1,5938531,
24074,90,7,8,10,22,24,32,7,7000481,
24073,288,3,9,12,18,28,30,1,9082052,
24072,96,1,14,20,21,23,27,6,0,
24071,130,2,8,19,28,30,31,14,7052822,
24070,95,4,13,18,20,22,28,5,7511573,
24069,121,6,13,20,21,24,32,6,6305244,
24068,190,1,2,7,19,20,21,1,5502857,
24067,100,1,11,13,17,25,29,3,7877684,
24066,168,8,9,12,22,26,32,13,6258377,
24065,236,3,5,9,10,19,22,14,7097933,
24064,277,6,8,17,18,28,30,5,5627014,
24063,245,7,14,16,23,28,32,4,6922247,
24062,90,1,7,10,16,18,27,16,9564773,
24061,143,1,9,18,22,25,28,2,10000000,
24060,122,1,2,6,10,22,28,15,7094190,
24059,137,1,3,14,25,31,33,7,8225609,
24058,84,8,12,13,17,27,29,13,10000000,
24057,384,3,8,17,18,23,31,8,5596329,
24056,97,5,18,20,24,25,26,6,7990254,
24055,144,2,4,6,7,16,29,3,10000000,
24054,242,8,13,20,25,31,32,3,9020570,
24053,220,7,14,21,22,28,33,7,5987819,
24052,131,7,10,11,15,17,21,3,8321035,
24051,203,5,9,13,20,23,28,6,6101483,
24050,226,1,3,7,10,22,33,2,6705264,
24049,141,12,15,17,23,26,32,11,10000000,
24048,114,2,9,15,19,26,28,2,7702490,
24047,91,7,8,21,26,29,30,15,5920995,
24046,188,2,6,10,11,17,29,15,8554950,
24045,334,2,8,19,23,24,26,3,6266764,
24044,115,2,6,17,25,32,33,6,8441962,
24043,146,4,6,7,14,15,24,8,6394606,
24042,46,2,4,5,14,26,32,14,10000000,
24041,542,2,9,12,22,25,33,16,5312395,
24040,213,11,14,18,19,23,26,2,7810178,
24039,138,2,6,12,29,30,31,10,6639344,
24038,190,8,10,18,23,27,31,2,10000000,
24037,90,1,4,5,6,12,14,13,10000000,
24036,206,2,8,9,12,21,31,2,6513910,
24035,504,5,7,14,17,22,32,6,5826032,
24034,248,2,9,12,19,21,31,4,6171541,
24033,117,6,10,11,18,20,32,5,10000000,
24032,135,1,3,4,11,12,21,16,6812502,
24031,173,9,10,13,25,30,32,2,5000000,
24030,76,1,8,22,25,29,33,10,10000000,
24029,116,12,18,23,25,28,33,4,10000000,
24028,206,3,7,8,11,18,19,5,6436209,
24027,296,2,6,13,27,28,32,13,7752307,
24026,465,4,7,18,19,20,25,6,6573568,
24025,77,8,15,21,22,25,33,13,7903667,
24024,276,3,7,21,24,26,30,10,7196464,
24023,174,1,10,22,25,28,32,10,10000000,
24022,335,2,9,11,14,18,26,6,5581991,
24021,182,4,6,16,17,23,24,11,7305253,
24020,65,3,8,12,14,17,33,8,10000000,
24019,107,5,11,12,16,17,20,8,6256934,
24018,224,6,15,17,24,28,29,16,7077975,
24017,96,4,17,19,20,25,32,4,10000000,
24016,87,7,12,20,24,32,33,4,5166908,
24015,254,3,8,17,18,20,30,15,8302983,
24014,110,1,2,10,22,24,25,13,8397008,
24013,149,1,7,10,14,21,25,7,6178793,
24012,138,1,3,7,18,22,28,15,8677481,
24011,143,8,12,16,20,27,31,6,5600516,
24010,73,11,16,20,21,23,24,4,10000000,
24009,118,1,4,7,10,17,23,14,10000000,
24008,151,8,20,21,23,27,30,13,9439349,
24007,178,4,5,6,7,20,22,15,9552387,
24006,98,7,18,20,21,26,32,5,7265119,
24005,99,5,6,20,23,25,32,3,10000000,
24004,163,9,13,17,18,21,27,4,7037575,
24003,116,1,5,8,13,32,33,3,6749071,
24002,196,4,9,10,17,19,20,9,5455071,
24001,164,3,7,16,26,27,32,16,8203438,
23151,112,1,15,16,20,25,27,5,7807583,
23150,109,10,17,25,26,30,33,5,8074962,
23149,134,2,10,19,24,26,33,15,10000000,
23148,424,3,5,7,9,19,20,8,5414501,
23147,96,5,6,14,16,19,32,12,7564467,
23146,172,2,3,6,11,20,32,9,6968340,
23145,195,7,10,21,22,23,24,11,8328480,
23144,151,12,16,17,22,25,27,8,6787498,
23143,187,5,7,9,16,23,30,15,5793556,
23142,130,2,8,20,21,27,33,14,10000000,
23141,220,1,8,11,12,21,23,3,7529897,
