issue_number,draw_date,red_ball_1,red_ball_2,red_ball_3,red_ball_4,red_ball_5,red_ball_6,blue_ball_1,sales_amount,jackpot_amount
22006,173,3,6,9,15,22,31,2,7682542,
22005,74,7,10,12,16,19,31,16,10000000,
22004,62,5,19,24,28,30,32,14,6141105,
22003,181,2,5,16,17,18,30,6,7708412,
22002,134,2,12,21,23,25,31,8,7295582,
22001,83,6,13,15,17,20,21,3,10000000,
21150,239,9,14,20,21,24,26,4,5660828,
21149,103,5,10,15,18,19,32,5,7864325,
21148,175,10,12,15,17,19,20,8,7622855,
21147,194,5,10,11,13,27,28,9,6608176,
21146,103,7,9,21,22,26,32,3,9424198,
21145,159,4,7,10,14,16,26,9,7832457,
21144,172,2,5,13,15,23,26,7,9315997,
21143,158,1,9,11,13,20,29,9,5571480,
21142,227,4,7,17,19,20,24,16,8791842,
21141,132,1,14,19,23,26,30,10,8542650,
21140,694,5,10,16,26,27,33,1,6366303,
21139,193,12,14,19,23,24,27,1,7490724,
21138,123,11,14,15,16,27,32,9,5685347,
21137,274,3,7,10,14,21,24,1,6420588,
21136,319,2,6,9,15,19,28,16,7908192,
21135,124,3,10,17,19,21,31,4,10000000,
21134,109,1,2,16,19,25,31,8,7491866,
21133,171,1,3,12,19,27,31,10,7465121,
21132,171,1,4,6,14,20,28,8,7775391,
21131,116,8,11,18,19,20,24,1,9453797,
21130,155,8,9,15,24,26,30,6,6336861,
21129,139,4,15,21,27,28,29,10,7512285,
21128,66,5,17,20,21,23,33,4,10000000,
21127,96,7,15,16,20,27,29,7,6816913,
21126,90,19,20,23,27,28,31,1,8689696,
21125,84,14,19,20,23,24,31,9,8898474,
21124,117,1,3,18,22,29,32,2,7956250,
21123,207,6,14,15,19,29,31,5,8473913,
21122,91,4,5,12,15,18,28,7,8231591,
21121,205,4,5,12,16,22,30,15,7721874,
21120,496,1,7,8,12,13,18,5,5268563,
21119,356,3,9,10,11,28,29,13,6354639,
21118,126,2,6,14,18,20,31,13,8460209,
21117,101,3,5,17,21,27,33,4,6782803,
21116,46,6,14,17,18,31,33,6,10000000,
21115,100,2,10,12,15,24,27,8,7857682,
21114,177,4,6,8,14,24,27,2,10000000,
21113,231,4,7,10,22,27,30,2,6380290,
21112,229,5,6,21,25,28,33,7,5394421,
21111,96,17,20,22,23,26,28,6,10000000,
21110,246,10,13,15,24,31,32,2,9736534,
21109,132,2,3,10,17,20,26,16,9492827,
21108,118,11,15,18,24,26,32,9,8478207,
21107,151,2,3,17,19,25,30,1,7867703,
21106,150,1,4,7,14,30,31,3,8130452,
21105,174,10,14,15,22,27,32,9,6993977,
21104,101,1,7,17,20,22,28,15,9475659,
21103,122,10,13,15,25,29,30,15,10000000,
21102,236,5,9,15,24,27,30,9,5285653,
21101,107,2,4,12,22,29,31,1,8682830,
21100,170,7,9,12,13,14,29,16,7583366,
21099,278,9,11,17,18,20,27,15,7942916,
21098,141,1,10,13,18,26,32,5,10000000,
21097,359,3,11,12,13,25,28,12,5323421,
21096,91,1,7,11,14,15,26,11,5640531,
21095,140,8,12,17,24,27,28,13,10000000,
21094,101,9,11,24,25,28,33,15,10000000,
21093,229,5,11,15,23,28,33,3,8646623,
21092,154,2,7,8,10,12,31,3,9066769,
21091,102,4,6,16,24,26,33,16,10000000,
21090,199,5,6,12,14,27,28,8,5534608,
21089,659,1,2,7,13,23,24,12,5338932,
21088,165,4,12,15,16,19,26,6,7133062,
21087,219,2,13,16,19,23,24,4,6520555,
21086,123,6,8,10,14,28,29,1,10000000,
21085,189,5,6,7,11,14,20,2,9473926,
21084,182,5,7,9,11,21,28,1,5814345,
21083,276,4,9,11,25,28,33,4,5173874,
21082,161,3,6,11,13,26,32,5,7348639,
21081,135,1,3,5,18,22,23,1,10000000,
21080,119,5,8,22,23,24,29,9,6122048,
21079,95,1,3,10,24,28,29,13,7301888,
21078,132,4,6,15,26,27,31,12,7800858,
21077,112,8,15,17,25,27,30,10,6434628,
21076,87,3,9,21,23,30,32,6,7982765,
21075,55,12,15,16,21,22,29,1,10000000,
21074,163,4,5,9,14,25,27,7,5822076,
21073,83,1,6,18,22,24,25,8,9536636,
21072,105,1,9,15,16,19,21,15,10000000,
21071,75,1,7,24,31,32,33,8,7393944,
21070,179,1,5,11,15,16,29,15,8972728,
21069,130,6,11,18,20,23,26,5,8297648,
21068,232,4,14,18,24,31,32,15,8662562,
21067,61,1,11,19,23,25,29,9,7464865,
21066,145,2,6,19,26,30,33,15,6436433,
21065,82,1,4,8,19,29,33,16,10000000,
21064,112,4,6,8,15,16,18,16,10000000,
21063,106,4,5,6,9,23,24,9,5000000,
21062,67,12,13,15,20,22,25,10,8804175,
21061,127,4,9,12,18,20,23,1,10000000,
21060,163,10,11,17,20,29,30,15,8356965,
21059,91,1,9,11,18,32,33,14,10000000,
21058,96,9,11,13,18,19,28,14,9893453,
21057,179,5,6,9,17,25,33,16,8882850,
21056,215,8,21,22,23,29,32,1,7488306,
21055,206,3,11,12,16,22,28,10,5553793,
21054,83,7,13,21,22,24,31,2,10000000,
21053,84,7,10,14,16,24,33,16,10000000,
21052,171,3,4,6,19,21,30,14,10000000,
21051,309,8,9,10,19,27,29,15,6796944,
21050,248,2,9,10,16,25,28,8,5598001,
21049,78,4,11,13,22,25,32,1,10000000,
21048,64,4,15,17,22,29,32,3,10000000,
21047,231,3,7,13,16,24,29,1,9419460,
21046,122,5,9,13,21,28,33,6,5735971,
21045,86,1,4,14,15,17,32,2,8717208,
21044,160,5,7,14,17,26,28,13,10000000,
21043,93,2,3,17,18,23,24,1,10000000,
21042,275,5,9,10,22,25,27,8,5498446,
21041,367,2,9,18,23,26,32,14,5307817,
21040,238,2,6,7,24,28,29,16,8652104,
21039,105,2,8,21,24,29,31,13,7814665,
21038,539,5,7,9,16,18,27,6,5502610,
21037,104,13,17,19,24,26,30,12,7856624,
21036,137,1,2,6,11,21,26,11,6690644,
21035,153,12,14,18,20,26,28,11,7844638,
21034,155,4,10,12,18,23,25,1,8852481,
21033,98,2,12,13,14,31,33,6,8001905,
21032,187,1,5,8,15,16,30,3,6977206,
21031,166,6,11,21,25,28,31,7,5950364,
21030,143,8,9,13,27,29,31,5,8232900,
21029,234,8,10,15,17,22,30,12,5716335,
21028,125,11,16,23,26,27,33,5,7433674,
21027,391,5,7,9,16,20,26,8,5339305,
21026,829,3,5,13,19,20,25,3,5079572,
21025,166,6,8,14,17,18,30,11,8396506,
21024,139,1,4,6,10,11,18,2,9223370,
21023,85,2,21,22,23,27,28,11,9744205,
21022,84,10,15,17,25,31,32,6,10000000,
21021,155,4,8,17,24,28,33,13,5979263,
21020,505,1,3,6,7,9,11,2,6085156,
21019,104,12,16,17,24,28,29,8,6344519,
21018,128,2,8,14,23,25,32,6,10000000,
21017,116,9,15,18,29,32,33,2,8959033,
21016,192,3,8,9,13,15,18,10,6134153,
21015,93,6,14,16,26,28,29,7,7672352,
21014,96,4,15,21,25,29,33,6,10000000,
21013,169,6,9,12,16,27,31,6,5756403,
21012,218,3,6,14,18,20,26,1,5854248,
21011,228,5,10,16,23,27,33,14,5425200,
21010,129,1,4,11,19,32,33,5,8060622,
21009,57,2,4,7,24,25,32,13,10000000,
21008,86,1,5,7,14,18,33,7,8728131,
21007,104,2,4,12,21,25,32,16,10000000,
21006,194,6,8,22,24,25,26,1,7377222,
21005,76,7,9,14,26,30,31,4,6353946,
21004,208,2,3,7,8,17,22,15,10000000,
21003,136,6,9,16,18,22,29,11,9406368,
21002,185,6,10,13,25,26,32,11,7105919,
21001,126,2,3,13,18,20,31,11,7034106,
20134,275,2,9,10,20,22,26,1,5382786,
20133,99,3,19,22,23,27,29,7,10000000,
20132,106,1,4,11,12,14,23,4,10000000,
20131,139,8,19,22,26,27,30,7,6733037,
20130,160,8,9,11,14,17,29,16,7096662,
20129,116,1,2,5,15,28,33,4,6613195,
20128,137,8,10,15,16,23,26,10,6055174,
20127,183,1,4,18,19,26,31,7,6838584,
20126,337,3,7,12,14,23,28,11,5506107,
20125,162,5,12,16,26,30,31,13,8008557,
20124,53,16,18,19,20,29,33,12,10000000,
20123,106,1,3,18,19,26,29,3,10000000,
20122,484,12,15,17,24,26,31,15,8506055,
20121,91,2,4,6,21,25,29,3,9656537,
20120,535,1,2,3,4,9,10,12,5529239,
20119,117,1,9,22,28,32,33,15,6880004,
20118,114,11,13,19,26,30,33,5,10000000,
20117,225,7,8,9,10,16,27,7,5762819,
20116,172,5,6,14,16,19,27,10,6979667,
20115,114,1,4,12,20,25,32,2,10000000,
20114,171,1,5,11,24,30,32,3,6478657,
20113,114,1,3,7,10,22,32,11,5279749,
20112,263,2,9,12,17,28,32,5,6657801,
20111,106,6,9,17,22,24,26,16,10000000,
20110,102,2,6,9,14,22,25,4,6744907,
20109,133,6,13,16,20,23,32,13,5708816,
20108,123,10,12,15,17,23,32,5,5973588,
20107,185,3,9,11,24,25,28,16,9250245,
20106,123,2,4,11,15,18,28,10,5906931,
20105,117,6,14,19,20,22,24,1,8700739,
20104,102,4,8,10,16,27,29,9,6582593,
20103,136,4,9,10,22,28,32,8,6122197,
20102,472,9,10,19,25,26,29,8,5028416,
20101,109,10,17,24,25,28,30,15,8298609,
20100,119,1,7,15,16,20,23,7,6279386,
20099,258,5,6,11,12,15,30,12,7301898,
20098,172,6,8,11,22,25,33,2,8077008,
20097,418,2,8,21,25,26,30,10,5489356,
20096,57,1,20,23,26,27,32,15,8190972,
20095,283,3,9,16,17,20,26,2,7745143,
20094,57,10,15,17,27,29,31,8,10000000,
20093,110,4,5,10,13,15,19,15,10000000,
20092,160,1,6,12,18,22,24,3,8324368,
20091,120,1,9,11,12,16,19,16,6771891,
20090,43,2,21,23,26,31,32,6,8569539,
20089,113,2,14,16,21,29,30,10,7200974,
20088,175,1,6,12,26,29,30,12,6377823,
20087,44,11,15,20,23,25,33,10,7940558,
20086,117,2,4,6,15,24,27,6,7452652,
20085,135,1,2,5,9,19,24,16,10000000,
20084,265,3,7,16,17,23,30,7,5641465,
20083,96,1,19,25,26,30,31,12,7916189,
20082,320,2,8,11,17,21,30,9,5094481,
20081,108,1,5,13,14,27,33,15,7057769,
20080,70,14,15,18,22,31,33,1,10000000,
20079,183,5,12,20,21,22,29,14,8578055,
20078,76,3,11,14,16,21,32,4,10000000,
20077,326,3,10,16,21,25,27,12,5841121,
20076,82,10,15,16,18,20,27,6,6895903,
20075,143,3,11,13,20,24,30,16,10000000,
20074,107,4,8,9,13,19,33,12,8629293,
20073,129,5,7,11,13,27,29,3,7005129,
20072,104,6,8,10,15,17,26,4,7525472,
20071,133,9,11,12,13,22,23,8,6156653,
20070,100,1,2,4,6,19,21,15,5829067,
20069,99,3,9,10,13,18,26,4,7827856,
20068,128,12,16,21,26,27,32,10,5430373,
20067,140,4,7,9,23,27,30,8,6979941,
20066,137,2,9,13,17,26,28,7,6006277,
20065,89,9,15,18,21,23,26,8,8838315,
20064,77,1,3,7,21,27,32,1,10000000,
20063,103,12,15,16,22,29,32,14,10000000,
20062,94,10,14,17,22,26,27,5,8901954,
20061,91,8,17,24,26,27,31,4,10000000,
20060,554,5,9,14,20,24,30,8,5238209,
20059,190,2,4,10,17,22,25,14,10000000,
20058,136,1,3,11,12,19,26,7,5569985,
20057,113,9,14,21,23,26,32,3,10000000,
20056,186,2,5,8,12,26,31,14,6280167,
20055,198,1,5,7,23,28,30,12,5761052,
20054,210,3,10,19,25,26,31,2,6596678,
20053,360,2,14,15,16,32,33,1,6277278,
20052,53,2,8,13,29,32,33,15,10000000,
20051,268,3,6,8,11,19,28,8,5442583,
20050,90,4,9,17,20,32,33,15,9664099,
20049,140,1,7,9,12,18,22,4,7652110,
20048,75,12,14,18,23,30,32,2,8364818,
20047,140,4,10,17,19,28,32,1,7200661,
20046,87,13,19,25,26,27,32,8,6855509,
20045,115,2,3,15,21,22,33,16,6075531,
20044,107,7,8,16,17,19,24,7,6803090,
20043,64,1,11,24,25,27,30,7,7928059,
20042,98,2,6,7,11,14,31,3,8415115,
20041,102,6,7,16,22,24,25,13,10000000,
20040,92,1,6,12,16,19,21,4,8416563,
20039,166,2,9,10,11,16,29,2,6952125,
20038,317,1,6,7,18,23,24,15,6276646,
20037,65,1,4,11,13,17,24,15,6810277,
20036,104,7,9,16,22,24,32,6,10000000,
20035,97,10,14,24,25,28,33,11,9777104,
20034,182,2,8,15,16,26,32,3,6780706,
20033,97,7,10,12,21,31,32,1,10000000,
20032,135,3,11,13,14,15,26,13,6588951,
20031,310,2,5,9,15,16,27,9,5603722,
20030,74,17,18,21,29,30,32,3,10000000,
20029,63,1,12,18,20,30,32,5,7432574,
20028,153,5,6,15,18,26,32,8,7465464,
20027,112,12,13,14,24,25,28,6,10000000,
20026,106,1,4,9,18,19,31,6,10000000,
20025,156,1,9,10,15,20,29,2,9977229,
20024,94,10,13,27,28,29,31,8,7028971,
20023,107,4,5,20,21,30,33,8,7277843,
20022,97,2,10,20,22,25,30,2,6761570,
20021,116,2,6,14,16,27,31,7,7581452,
20020,91,1,6,9,13,15,22,14,9871526,
20019,60,15,19,27,28,30,33,3,7437091,
20018,188,5,7,8,11,17,22,13,6340865,
20017,127,2,4,7,15,20,27,4,5992154,
20016,89,5,6,8,17,24,27,7,5979822,
20015,60,8,9,22,24,30,33,1,10000000,
20014,66,2,7,8,10,12,16,7,6947355,
20013,184,2,8,10,20,21,30,14,7500138,
20012,112,4,13,14,23,26,31,9,8598462,
20011,67,4,5,7,17,18,29,1,6079680,
20010,42,11,14,22,27,31,32,9,8485717,
20009,253,3,6,8,14,19,26,12,6003258,
20008,262,1,4,6,10,11,28,16,6202629,
20007,269,5,12,17,20,25,31,10,5371408,
20006,363,3,4,5,10,16,32,9,5735328,
20005,224,11,16,17,22,26,32,4,7446888,
20004,189,2,15,17,27,32,33,3,7900679,
20003,134,9,17,26,29,30,32,3,6237758,
20002,194,4,9,14,15,16,29,11,6188650,
20001,113,2,15,23,26,29,30,2,10000000,
19151,121,2,6,9,18,24,26,14,8200266,
19150,158,2,9,14,22,27,29,2,7571049,
19149,120,1,6,27,28,31,33,7,6041786,
19148,179,9,10,13,20,26,27,8,5386963,
19147,120,1,9,12,14,23,27,12,7003459,
19146,82,1,4,10,12,30,32,14,10000000,
19145,145,1,8,13,17,18,19,16,6299971,
19144,276,2,12,15,19,27,30,3,6951733,
19143,471,5,13,15,16,26,32,9,6396823,
19142,72,8,14,24,27,29,33,9,5681439,
19141,101,10,13,14,15,17,33,14,10000000,
19140,187,2,4,9,11,14,22,5,5699960,
19139,87,8,14,20,23,30,33,11,10000000,
19138,221,2,6,12,30,31,32,11,6123356,
19137,230,7,10,13,19,23,31,6,5601120,
19136,50,12,14,15,17,29,33,12,7822924,
19135,145,3,6,10,11,27,33,3,10000000,
19134,99,1,4,6,22,29,30,3,8383006,
19133,163,3,7,16,21,24,31,7,7387274,
19132,141,4,6,11,14,19,33,7,8159750,
19131,195,9,17,19,20,24,31,4,6956355,
19130,151,1,7,9,11,24,32,16,6791765,
19129,360,3,4,7,9,15,26,7,5800136,
19128,118,3,8,12,16,17,19,8,6051317,
19127,227,2,6,7,12,17,24,10,5970153,
19126,81,2,14,17,29,32,33,16,7151842,
19125,253,2,11,12,26,27,29,3,7374072,
19124,153,4,9,30,31,32,33,1,6175971,
19123,366,2,6,8,17,28,30,6,5596004,
19122,117,4,10,15,19,21,23,2,10000000,
19121,138,2,6,15,21,30,31,2,6185649,
19120,85,10,12,27,31,32,33,3,8898140,
19119,73,4,20,22,24,26,33,7,6158337,
19118,142,12,14,15,25,28,31,4,8013754,
19117,135,3,5,11,28,32,33,1,9637937,
19116,146,1,8,9,13,16,33,1,8062689,
19115,137,4,10,11,14,15,29,5,7126357,
19114,180,2,4,9,11,12,30,1,10000000,
19113,118,1,5,19,21,25,33,15,8717723,
19112,173,3,12,14,17,23,27,1,8762335,
19111,82,7,18,20,22,24,33,1,9138179,
19110,89,1,18,22,26,27,28,8,7132577,
19109,218,3,6,7,17,28,31,10,8306978,
19108,110,7,13,19,22,25,32,13,6413151,
19107,54,2,6,8,23,27,32,2,10000000,
19106,65,2,14,22,27,30,33,14,10000000,
19105,85,2,13,15,17,26,33,1,8463242,
19104,120,1,5,16,17,18,24,10,6848206,
19103,101,4,12,14,21,27,29,12,10000000,
19102,198,3,8,12,16,20,32,12,5786187,
19101,77,1,4,9,21,31,33,5,6477614,
19100,60,1,4,12,13,30,32,8,10000000,
19099,185,7,14,22,23,27,30,8,5524776,
19098,136,3,11,12,14,17,26,9,9535306,
19097,98,3,5,18,24,25,31,9,7465772,
19096,310,5,7,12,18,27,32,11,5399584,
19095,95,2,5,14,19,21,28,1,10000000,
19094,301,5,10,12,18,19,27,6,6822140,
19093,629,5,7,8,9,20,22,2,5590139,
19092,67,9,17,27,28,32,33,8,6573767,
19091,94,7,10,21,24,29,32,11,10000000,
19090,93,2,3,6,8,14,22,4,10000000,
19089,104,2,4,14,16,20,22,11,6961515,
19088,77,13,14,15,21,23,29,13,5697370,
19087,99,4,5,7,9,21,30,4,9423734,
19086,120,16,22,24,26,28,31,6,6364807,
19085,61,1,4,14,18,24,29,4,6519571,
19084,300,4,8,14,18,20,27,3,5979203,
19083,118,6,15,17,26,28,31,3,6795196,
19082,91,7,16,19,22,24,28,2,8270886,
19081,58,5,24,27,29,31,32,10,8910511,
19080,80,3,6,8,20,24,32,7,6502641,
19079,156,1,3,6,9,19,31,16,6163816,
19078,199,1,17,27,29,31,33,12,6369078,
19077,118,9,11,13,18,21,22,15,10000000,
19076,84,12,15,19,20,29,32,14,10000000,
19075,69,5,8,20,22,31,33,3,10000000,
19074,51,12,21,27,29,31,33,4,10000000,
19073,146,1,2,6,12,16,18,8,5684254,
19072,155,2,9,13,15,22,30,15,6995170,
19071,371,1,8,19,24,29,30,4,5832271,
19070,103,6,15,18,19,24,32,9,10000000,
19069,226,6,11,16,19,21,25,1,7285184,
19068,64,3,14,20,24,26,33,10,8093762,
19067,110,4,6,8,11,30,33,11,7973990,
19066,86,1,14,17,20,22,32,4,8522847,
19065,317,6,9,11,15,20,26,10,6616248,
19064,92,12,20,24,25,30,33,12,9064360,
19063,91,1,14,19,22,29,31,16,9289366,
19062,161,7,13,16,23,26,30,1,8340699,
19061,80,3,17,19,24,27,31,12,8443688,
19060,118,3,4,14,20,23,27,1,10000000,
19059,125,4,5,7,9,16,18,6,10000000,
19058,127,7,8,12,21,23,27,12,5260714,
19057,127,4,5,6,8,13,18,16,8216242,
19056,78,13,14,17,19,21,29,1,10000000,
19055,61,1,6,11,15,19,31,10,10000000,
19054,132,7,10,11,15,24,26,11,6741103,
19053,109,4,16,22,25,29,31,8,5969643,
19052,2295,3,6,9,13,16,19,16,5117604,
19051,120,8,9,10,13,15,28,9,5503869,
19050,100,4,6,10,11,21,23,2,6136790,
19049,205,3,10,13,22,23,28,15,6552485,
19048,153,3,7,10,12,18,29,10,7251672,
19047,388,3,11,18,25,30,33,14,10000000,
19046,132,2,12,16,22,25,32,6,5847483,
19045,83,1,6,17,19,27,31,14,8172099,
19044,188,6,14,16,17,23,29,7,5956414,
19043,99,1,6,12,13,24,32,13,10000000,
19042,132,15,17,19,22,25,26,4,10000000,
19041,103,2,9,13,23,24,26,16,10000000,
19040,159,5,6,9,18,23,31,11,6661238,
19039,136,6,7,11,14,27,32,8,6258711,
19038,101,9,12,21,27,29,30,5,6243868,
19037,213,1,7,12,14,18,25,10,6514774,
19036,85,2,10,13,16,23,32,8,5000000,
19035,233,1,5,7,9,10,20,16,7034000,
19034,103,9,11,15,22,24,26,3,6957743,
19033,224,9,15,19,21,23,29,15,6000111,
19032,228,4,8,9,13,28,33,4,8788636,
19031,119,3,13,15,18,21,33,16,9429639,
19030,196,4,5,7,10,12,22,16,6202265,
19029,83,8,11,17,23,32,33,10,8343406,
19028,165,4,19,22,26,29,30,11,6380332,
19027,223,2,6,8,10,11,17,13,7407292,
19026,74,3,13,15,19,20,27,14,6689534,
19025,74,15,16,21,27,30,33,4,9479664,
19024,99,1,8,23,25,28,29,10,6940962,
19023,336,1,10,14,15,18,31,13,6088193,
19022,169,3,7,11,21,30,33,7,5503206,
19021,214,2,5,7,8,20,27,4,8810224,
19020,233,2,12,13,23,27,28,12,6275977,
19019,268,3,11,17,18,24,25,6,5530875,
19018,364,4,11,18,19,26,32,4,7473244,
19017,50,4,5,24,28,30,33,9,9404407,
19016,157,5,7,9,11,19,25,5,6236511,
19015,181,11,15,16,20,24,31,4,6477986,
19014,168,1,2,3,14,19,33,3,7683510,
19013,77,5,7,14,16,18,21,1,10000000,
19012,55,7,10,21,23,31,33,14,10000000,
19011,72,10,13,19,21,24,30,7,8829188,
19010,178,2,4,5,8,11,30,2,5753329,
19009,122,1,7,10,22,31,32,15,7191309,
19008,86,2,6,9,13,28,32,12,9716477,
19007,198,6,10,14,15,19,23,15,7306482,
19006,96,1,5,10,19,26,28,12,5514887,
19005,68,21,22,26,28,31,32,7,6133650,
19004,222,8,12,16,19,26,32,3,7428584,
19003,129,13,17,20,21,22,27,1,9635283,
19002,129,4,5,6,8,9,18,11,7273230,
19001,147,6,10,13,15,32,33,15,6657038,
18153,133,1,7,17,23,25,31,11,10000000,
18152,168,4,14,16,23,28,29,3,5479653,
18151,203,5,15,19,25,26,29,15,9708849,
18150,270,6,8,15,19,20,31,5,6255214,
18149,212,1,7,8,10,12,24,1,6743951,
18148,210,3,6,18,19,21,31,1,6665301,
18147,102,3,15,17,23,27,30,11,6875712,
18146,157,2,10,11,17,18,29,16,6395974,
18145,172,3,9,13,22,23,25,6,5598712,
18144,117,8,13,17,18,20,27,13,10000000,
18143,117,4,6,15,28,32,33,14,6480336,
18142,242,5,8,10,11,27,28,11,5856527,
18141,115,11,14,16,18,24,33,4,10000000,
18140,103,1,15,20,22,25,28,14,0,
18139,82,11,18,20,23,31,32,15,7121941,
18138,67,1,10,25,27,30,32,9,10000000,
18137,141,3,5,11,15,20,23,9,6284256,
18136,149,10,12,15,25,26,27,14,8548933,
18135,133,1,3,6,10,11,29,16,10000000,
18134,297,3,16,18,31,32,33,12,6833164,
18133,65,2,4,11,12,18,32,13,10000000,
18132,104,1,2,9,10,15,22,6,6627168,
18131,125,21,22,24,31,32,33,1,10000000,
18130,841,5,12,17,18,24,28,12,6072806,
18129,117,2,4,6,16,18,19,16,8728266,
18128,300,6,7,8,19,22,23,2,7226364,
18127,202,2,5,6,7,11,15,12,6414968,
18126,138,1,6,8,9,14,22,5,7588766,
18125,54,3,10,11,14,15,32,2,10000000,
18124,127,9,13,14,19,22,25,2,9291791,
18123,115,13,21,24,27,31,32,1,9217817,
18122,230,5,7,20,22,30,32,10,5238879,
18121,142,6,8,14,19,23,25,11,6468429,
18120,185,3,4,18,26,27,33,1,9561820,
18119,117,3,13,14,16,25,27,12,6043410,
18118,140,8,12,21,22,27,31,9,6907203,
18117,189,8,11,15,17,23,25,5,7824932,
18116,320,5,14,17,22,23,28,15,5308473,
18115,52,1,13,19,24,26,29,11,10000000,
18114,203,1,7,15,16,20,27,14,7981155,
18113,208,1,6,9,16,25,26,9,5895165,
18112,154,5,8,18,25,26,31,4,6090396,
18111,143,1,7,14,24,25,28,8,5565493,
18110,66,11,13,16,21,22,23,2,10000000,
18109,69,10,11,18,23,31,33,15,8282094,
18108,179,5,13,18,21,26,30,2,5859675,
18107,139,1,2,5,12,20,22,1,8438555,
18106,125,4,18,19,24,25,26,10,8430179,
18105,150,4,5,13,18,19,25,1,6257964,
18104,158,2,3,6,19,25,29,1,8635318,
18103,111,2,9,15,22,23,24,16,7746753,
18102,163,2,6,11,19,21,28,5,8922949,
18101,70,1,3,14,26,29,33,9,7864370,
18100,91,2,11,14,15,29,33,2,10000000,
18099,242,3,7,8,14,25,32,6,6102840,
18098,125,6,10,11,20,29,32,13,7336982,
18097,38,1,2,17,20,25,28,13,10000000,
18096,150,1,5,9,20,28,32,12,5556088,
18095,87,10,11,12,21,26,33,9,8780501,
18094,148,4,7,16,20,24,30,5,0,
18093,78,4,18,20,21,29,33,7,10000000,
18092,95,6,10,16,19,24,33,16,10000000,
18091,81,6,11,13,17,25,32,7,8999907,
18090,85,1,2,4,10,14,23,7,5776285,
18089,172,6,9,12,14,18,27,14,9128194,
18088,69,3,5,12,29,30,32,14,7319478,
18087,74,1,5,10,16,18,31,3,10000000,
18086,109,2,7,17,21,23,26,16,5839185,
18085,88,4,10,25,26,30,33,6,6541028,
18084,249,5,6,8,12,22,24,3,6216121,
18083,126,4,9,18,21,32,33,3,6964663,
18082,140,6,12,14,20,22,24,9,6895145,
18081,154,1,2,12,16,20,26,3,9113851,
18080,128,4,7,13,20,29,33,3,8230212,
18079,77,14,15,17,22,24,29,13,10000000,
18078,204,3,10,14,17,18,30,12,7550329,
18077,109,2,5,9,15,20,24,10,7421960,
18076,363,3,7,8,15,29,30,13,5565528,
18075,120,7,9,12,13,22,24,11,5972248,
18074,120,9,11,14,20,27,30,9,6057912,
18073,104,2,9,14,15,16,23,10,7236302,
18072,101,11,16,19,22,25,30,8,5128649,
18071,110,2,5,6,13,16,19,3,6963036,
18070,138,4,9,15,16,19,27,10,6439454,
18069,126,6,13,17,19,23,31,12,8350663,
18068,225,8,10,17,20,27,30,1,10000000,
18067,122,1,4,9,12,15,18,5,7355099,
18066,195,9,16,17,19,22,26,10,6805079,
18065,123,1,4,6,14,28,33,1,8384489,
18064,149,2,5,10,11,17,21,5,6202837,
18063,315,5,6,10,16,20,25,12,5291294,
18062,109,2,18,19,24,25,33,11,8244701,
18061,213,9,10,11,12,18,23,7,5915270,
18060,111,4,8,13,25,30,31,10,8071749,
18059,69,4,6,8,13,22,32,11,7926005,
18058,120,7,12,13,16,26,31,7,6534486,
18057,193,5,15,17,19,20,30,13,7219690,
18056,187,1,3,6,20,21,26,1,7536477,
18055,131,7,9,10,12,22,26,7,5382270,
18054,86,4,6,18,22,25,33,16,10000000,
18053,104,1,4,10,11,14,27,6,7086603,
18052,104,3,5,6,9,15,32,14,9373437,
18051,146,5,7,20,23,27,31,4,9213527,
18050,146,1,2,4,10,18,19,7,7360984,
18049,88,1,3,4,11,19,23,2,7858532,
18048,76,1,12,20,25,30,31,2,9801124,
18047,102,6,7,12,16,22,25,7,6936514,
18046,100,10,13,14,18,20,31,3,10000000,
18045,82,3,4,6,25,26,30,1,6904812,
18044,643,5,9,12,17,27,30,6,5550276,
18043,93,1,4,6,8,21,24,7,7386066,
18042,163,6,10,21,28,29,31,12,6113405,
18041,64,7,8,20,23,24,32,13,9960334,
18040,283,1,3,8,13,18,23,16,6625737,
18039,168,8,12,18,19,23,32,3,8202095,
18038,75,15,23,24,25,28,29,9,7607731,
18037,137,1,6,7,8,27,30,10,6218823,
18036,117,8,17,24,26,28,33,4,10000000,
18035,289,7,10,11,17,23,28,15,8809507,
18034,122,1,5,11,22,23,26,15,7560160,
18033,88,4,19,20,22,28,33,6,10000000,
18032,127,21,22,23,24,25,32,6,10000000,
18031,116,2,16,18,19,27,30,14,10000000,
18030,98,13,14,20,21,25,33,7,10000000,
18029,85,1,2,9,14,22,25,5,8926329,
18028,220,3,8,11,14,18,23,16,7676997,
18027,144,2,7,9,14,18,28,5,8250400,
18026,75,4,7,12,14,26,32,4,8313468,
18025,83,4,13,16,19,21,25,14,10000000,
18024,81,11,19,22,26,31,32,2,7481039,
18023,159,12,15,16,21,26,29,16,10000000,
18022,111,7,14,19,21,22,23,3,8201615,
18021,216,3,4,6,11,23,28,14,10000000,
18020,212,6,9,10,14,28,30,5,5489962,
18019,80,3,11,12,16,21,23,9,6663708,
18018,214,2,12,13,18,25,27,7,6383135,
18017,68,3,6,11,26,30,32,12,8695830,
18016,98,1,11,12,18,25,27,16,9593701,
18015,172,11,15,20,21,26,33,15,7652271,
