issue_number,draw_date,red_ball_1,red_ball_2,red_ball_3,red_ball_4,red_ball_5,blue_ball_1,blue_ball_2,sales_amount,jackpot_amount
25013,"201,895",14,16,18,20,35,2,5,81,1260404090
25012,"183,282",2,18,19,21,25,2,11,97,1240397719
25011,"65,086",3,6,7,11,27,2,8,163,1183329142
25010,"171,799",5,21,28,30,32,7,12,86,1197169902
25009,"108,815",3,19,21,30,32,6,9,126,1207630140
25008,"94,439",1,5,7,13,35,5,12,132,1208994729
25007,"271,022",15,22,23,25,31,1,9,70,1221403982
25006,"141,473",3,4,13,19,35,3,10,104,1157222669
25005,"54,953",5,6,8,31,32,9,11,212,1135025880
25004,"138,323",2,5,9,13,33,1,7,102,1149680406
25003,"385,970",10,25,30,32,34,4,10,46,1125887685
25002,"140,909",19,21,22,28,32,6,9,90,1059802300
25001,"62,463",5,8,16,17,27,4,7,162,1083648909
24152,"113,095",1,2,7,8,31,2,10,145,1125809266
24151,"146,038",5,12,17,19,35,10,11,109,1100535289
24150,"85,346",4,11,23,25,34,5,7,146,1082499928
24149,"110,866",2,5,16,18,22,7,9,108,1046459747
24148,"109,466",6,9,20,32,35,8,11,119,1027404436
24147,"223,695",12,18,21,22,31,1,7,75,981658901
24146,"106,831",5,20,21,22,32,3,4,125,912659139
24145,"174,535",1,6,9,22,24,1,3,95,931270188
24144,"119,813",6,7,8,21,30,1,5,119,901592547
24143,"80,121",16,20,22,24,31,4,5,144,887487585
24142,"112,528",8,21,24,33,34,3,10,88,908929975
24141,"71,205",2,6,7,16,20,2,11,154,966806148
24140,"128,171",3,6,15,23,31,1,12,112,992732461
24139,"105,433",5,12,20,23,24,5,7,160,965113949
24138,"190,337",5,17,20,28,34,4,9,79,1009101192
24137,"104,452",8,15,16,17,21,2,5,119,987311039
24136,"165,661",1,17,20,29,34,7,8,105,975020597
24135,"39,797",6,8,22,24,30,3,8,290,908783183
24134,"112,009",1,4,7,13,33,5,6,123,961163599
24133,"148,951",8,10,14,22,29,4,6,105,939926814
24132,"140,888",5,6,10,16,31,6,9,86,940646992
24131,"181,338",2,3,4,21,26,2,3,86,955783255
24130,"132,321",11,21,25,31,32,4,10,113,986242259
24129,"181,532",7,19,30,31,34,5,7,78,998345495
24128,"214,022",3,7,10,29,31,1,3,75,966301156
24127,"107,175",2,3,10,16,28,7,10,146,924642774
24126,"122,664",2,10,17,28,34,7,8,112,905005034
24125,"202,295",10,14,19,24,26,1,10,77,892379303
24124,"148,884",2,3,7,10,25,1,11,93,858545811
24123,"53,660",3,9,16,30,31,8,9,200,852251926
24122,"67,642",5,6,9,15,17,3,10,163,873167406
24121,"76,309",7,15,18,24,33,4,5,168,853826236
24120,"82,997",4,12,17,23,27,2,8,146,921780534
24119,"174,879",6,12,28,30,33,2,7,71,940710313
24118,"24,262",1,3,9,16,19,5,11,351,958387740
24117,"61,759",2,10,22,26,28,2,4,177,1025830819
24116,"203,919",1,3,6,16,25,1,11,66,1040962748
24115,"95,071",3,4,12,19,24,8,12,128,988785697
24114,"190,925",12,27,30,34,35,5,11,77,1038006420
24113,"90,958",16,18,25,26,33,4,8,122,1008302191
24112,"157,205",5,15,24,31,34,3,10,81,1014832821
