issue_number,draw_date,red_ball_1,red_ball_2,red_ball_3,red_ball_4,red_ball_5,blue_ball_1,blue_ball_2,sales_amount,jackpot_amount
22097,"75,131",5,13,22,28,29,5,11,133,812318846
22096,"156,359",16,19,24,27,33,1,6,82,818056288
22095,"138,200",5,8,22,25,35,2,7,86,779067575
22094,"93,869",3,4,7,12,19,2,5,116,765240459
22093,"71,002",7,11,14,21,29,7,10,114,835132342
22092,"142,234",1,4,12,23,29,5,12,98,924505092
22091,"245,249",2,11,20,22,34,4,12,54,892175409
22090,"134,459",1,20,24,25,31,9,12,100,912078544
22089,"134,608",1,20,21,31,33,3,11,102,884490881
22088,"236,609",1,8,10,20,35,6,11,56,812522097
22087,"208,288",4,6,10,24,28,6,12,64,840840032
22086,"128,648",4,10,21,28,31,8,11,101,794672441
22085,"217,641",11,16,31,33,35,6,8,67,779393038
22084,"139,730",3,11,19,25,27,4,12,89,725347023
22083,"36,570",2,9,17,26,32,4,6,331,694213668
22082,"212,523",4,26,27,30,33,2,9,58,683037489
22081,"108,410",5,10,19,31,32,9,10,118,656541910
22080,"285,340",10,17,30,31,34,3,6,57,854183132
22079,"69,522",7,10,19,26,32,8,12,153,814806480
22078,"185,043",2,3,18,20,27,1,2,65,857454986
22077,"127,089",5,10,11,16,19,1,10,96,822341601
22076,"309,721",5,17,30,34,35,2,9,53,853413999
22075,"96,707",4,12,13,17,18,7,9,107,831794198
22074,"254,763",2,6,21,25,28,2,6,61,812683583
22073,"176,730",11,18,21,25,32,2,4,85,795817235
22072,"218,463",1,12,13,15,30,3,7,66,754035319
22071,"32,229",9,15,19,25,29,8,9,348,722042899
22070,"76,452",1,7,17,23,35,7,11,146,1240666271
22069,"150,496",2,3,23,28,35,2,9,79,1252345739
22068,"108,789",3,6,10,15,23,3,8,125,1230825950
22067,"65,265",4,14,15,32,33,10,11,185,1213949799
22066,"192,989",2,24,25,26,34,3,12,75,1257070427
22065,"117,523",5,10,13,22,28,1,4,128,1205499301
22064,"278,504",2,19,22,25,35,5,7,56,1156831125
22063,"325,472",2,3,22,26,31,6,10,49,1094156708
22062,"120,888",5,9,11,12,31,7,11,107,1055150108
22061,"93,357",6,9,19,22,30,1,6,112,1050658907
22060,"98,602",2,6,10,11,20,3,9,134,1073598423
22059,"273,757",4,15,18,32,34,4,9,59,1042057373
22058,"249,060",3,4,24,26,35,7,8,58,1014062807
22057,"176,774",6,12,18,21,35,7,10,89,1050548455
22056,"154,372",2,11,15,17,31,7,9,102,1056706742
22055,"282,372",1,2,12,15,23,4,6,60,971105599
22054,"36,289",5,16,21,23,34,7,10,223,958213630
22053,"34,155",9,17,19,20,25,1,9,311,1081408713
22052,"250,344",1,13,18,29,35,4,9,55,1198829807
22051,"97,034",1,16,17,19,33,5,6,108,1225933267
22050,"214,716",2,10,21,24,30,8,10,78,1265185550
22049,"218,856",6,10,20,28,35,1,10,70,1238138014
22048,"141,701",16,22,28,29,32,8,9,80,1221336676
22047,"207,855",7,10,11,12,33,3,11,72,1179450986
22046,"123,578",6,7,12,22,27,3,5,114,1151734276
22045,"136,728",2,3,7,12,20,1,5,103,1184751389
22044,"174,317",1,2,16,17,20,3,7,86,1132266362
22043,"38,045",2,16,17,24,30,9,12,319,1106933108
22042,"184,764",8,10,11,29,32,2,6,79,1179249861
22041,"126,495",5,15,25,26,33,6,11,132,1182772176
22040,"67,198",10,19,25,29,33,8,12,187,1179022270
22039,"180,645",1,8,11,22,31,5,11,66,1238597563
22038,"69,639",7,9,11,12,26,9,12,147,1218640918
22037,"87,671",1,9,17,20,28,6,10,127,1326357582
22036,"107,106",18,19,21,26,34,6,7,108,1288426892
22035,"76,412",9,11,13,23,31,5,8,148,1262351648
22034,"112,921",2,10,24,27,28,6,7,111,1248571195
22033,"74,353",8,15,16,19,33,3,4,133,1255163230
22032,"102,698",5,9,18,31,32,1,5,140,1270429257
22031,"102,371",7,14,16,20,28,4,8,119,1208966802
22030,"246,560",12,14,15,21,30,1,9,55,1205677593
22029,"123,790",7,8,10,14,17,10,12,110,1179206274
22028,"44,819",4,9,16,17,35,1,7,227,1160852484
22027,"183,847",3,6,11,31,32,5,12,67,1172229997
22026,"152,456",11,14,22,23,27,8,10,80,1190311490
22025,"197,731",4,7,22,24,29,1,7,79,1186204971
22024,"119,578",1,2,11,30,35,1,12,113,1140166346
22023,"72,789",4,5,18,20,25,11,12,161,1092622293
22022,"128,259",1,5,14,17,28,6,7,91,1125444965
22021,"199,693",11,15,16,18,35,6,9,67,1125876146
22020,"216,655",16,17,30,31,35,8,9,65,1103146928
22019,"112,629",1,4,7,17,21,1,2,131,1075854771
22018,"99,916",16,21,29,31,34,6,9,101,1095457117
22017,"187,025",10,14,18,23,25,7,11,74,1134950928
22016,"195,233",1,7,17,26,32,1,9,74,1140211945
22015,"112,380",1,2,8,12,30,5,12,105,1101484790
22014,"200,691",1,4,10,18,32,1,9,83,1196232917
22013,"41,233",4,9,16,25,32,5,6,325,1165497779
22012,"201,685",3,5,10,33,34,7,10,86,1225396765
22011,"54,260",3,5,17,24,32,5,12,176,1215311647
22010,"230,571",4,19,25,31,35,2,11,65,1227756664
22009,"169,967",13,14,18,31,33,7,10,82,1189540601
22008,"111,356",1,2,13,18,34,6,7,116,1212783541
22007,"193,366",5,22,23,25,35,3,11,81,1166246610
22006,"157,904",1,5,7,17,20,5,12,89,1126455275
22005,"57,227",2,13,17,19,34,5,9,142,1082745176
22004,"220,180",7,20,27,30,33,3,4,73,1161605667
22003,"138,844",2,18,24,25,34,8,12,99,1117630716
22002,"98,863",4,6,7,9,24,4,12,120,1108263191
22001,"38,595",8,11,19,22,29,3,11,283,1129936273
21150,"97,499",4,10,11,23,26,7,10,124,1187065938
21149,"211,096",20,26,28,30,35,10,11,71,1187821356
21148,"87,286",1,4,12,16,29,4,8,169,1140109035
21147,"174,581",1,2,8,12,26,1,7,87,1156628877
21146,"66,819",3,5,8,18,20,9,11,177,1139389367
21145,"135,901",3,8,25,29,30,1,6,126,1160533246
21144,"346,332",3,20,25,30,34,2,9,53,1153487670
21143,"81,540",9,17,19,29,34,4,11,114,1104620668
21142,"143,032",11,13,17,19,25,2,9,99,1152884153
21141,"80,804",2,8,16,29,34,5,12,165,1157697511
21140,"101,414",5,24,26,33,35,9,12,117,1116819863
21139,"51,125",5,13,18,23,34,8,9,230,1083766581
21138,"182,720",9,11,12,15,31,5,11,79,1273167983
21137,"159,214",2,7,13,14,19,4,5,85,1263704189
21136,"60,673",8,12,19,27,33,2,5,203,1292130529
21135,"181,363",4,7,17,29,31,5,6,79,1262006661
21134,"269,935",2,6,14,19,28,1,6,57,1248689539
21133,"53,534",8,9,17,26,28,6,8,204,1243590907
21132,"73,186",4,21,28,29,33,3,11,149,1318930416
21131,"218,787",6,8,16,34,35,5,6,69,1360443412
21130,"107,638",2,3,14,27,28,5,10,140,1329267789
21129,"211,783",2,16,17,18,34,4,10,63,1403814395
21128,"74,441",14,17,18,23,27,5,8,128,1337287551
21127,"224,471",1,2,15,17,26,2,11,64,1374522134
21126,"125,662",1,11,12,34,35,9,12,119,1337033732
21125,"131,680",17,19,21,27,31,4,9,103,1288689190
21124,"172,900",10,17,22,25,35,7,9,83,1239396849
21123,"213,247",8,23,26,27,33,8,9,63,1210823710
21122,"120,192",14,15,26,27,29,4,5,105,1186675748
21121,"127,063",2,15,19,29,30,2,9,115,1146249376
21120,"131,354",5,10,21,25,31,5,11,104,1120909519
21119,"84,057",1,2,9,16,30,9,10,141,1157376912
21118,"148,407",14,17,18,28,34,2,3,98,1146057646
21117,"61,934",11,18,21,22,33,5,6,169,1124390425
21116,"190,970",4,25,28,29,35,3,11,73,1151852870
21115,"112,841",8,13,19,20,29,6,10,114,1111593016
21114,"108,970",8,9,13,29,30,1,11,110,1081182210
21113,"84,274",17,18,25,27,28,4,8,139,1035393331
21112,"283,977",18,21,22,23,35,11,12,61,1058537381
21111,"45,015",7,8,15,19,28,8,9,232,995038783
21110,"189,758",11,14,29,31,32,11,12,75,1046721834
21109,"121,850",3,4,7,27,31,6,9,83,1073585145
21108,"198,372",5,19,22,26,35,2,6,69,1069829501
21107,"199,664",3,5,13,20,25,7,11,70,1105541509
21106,"149,583",2,13,14,32,34,2,12,97,1149093888
21105,"89,835",7,10,11,17,18,4,9,117,1087468357
21104,"228,429",23,25,26,30,33,3,11,71,1086226837
21103,"232,323",4,10,23,30,31,5,11,61,1037062397
21102,"111,145",2,8,11,16,23,2,7,117,982320279
21101,"105,827",13,18,19,27,32,6,11,101,1043300674
21100,"110,807",7,11,23,26,28,2,7,96,1059494718
21099,"128,865",15,19,27,28,30,3,4,130,1062893865
21098,"202,870",2,7,21,27,33,7,9,62,1007650453
21097,"293,323",11,26,30,31,33,3,10,45,975519760
21096,"69,310",7,8,10,20,21,1,5,204,927073812
21095,"114,636",10,15,19,20,30,11,12,116,962561876
21094,"173,225",5,6,24,27,33,5,12,77,931384310
21093,"239,598",20,25,27,28,31,8,11,66,948527900
21092,"111,939",12,14,27,28,34,3,7,108,907549564
21091,"61,811",1,4,10,21,29,3,5,155,877764456
21090,"46,324",6,7,19,26,32,6,12,236,880472278
21089,"309,133",1,17,24,28,35,10,12,48,851200235
21088,"197,930",2,14,31,34,35,1,7,63,822562305
21087,"68,131",10,14,15,25,28,3,10,177,797251485
21086,"176,586",2,3,7,16,17,6,10,71,822607828
21085,"137,086",1,12,15,26,35,10,11,99,775634441
21084,"92,500",2,10,14,30,33,6,9,130,763493932
21083,"148,138",7,9,11,26,35,1,8,84,759158453
21082,"159,258",1,14,22,29,33,3,10,89,747230176
21081,"185,428",5,13,24,29,35,7,8,70,807325944
21080,"91,718",15,16,20,29,30,6,10,118,767631448
21079,"172,047",6,14,19,26,33,8,11,75,802121551
21078,"165,115",2,8,17,19,25,1,5,91,821042099
21077,"185,350",2,6,9,21,25,6,8,64,789285714
21076,"92,526",6,13,22,25,26,2,4,129,775457206
21075,"294,104",6,14,15,17,20,1,5,51,752135503
21074,"158,926",11,14,18,20,25,3,7,84,700603889
21073,"134,102",8,12,14,20,24,6,10,101,657298888
21072,"117,028",2,3,15,22,26,3,11,123,627008381
21071,"192,242",8,11,16,29,35,1,4,79,596211840
21070,"265,807",3,20,21,22,24,6,12,59,612658366
21069,"183,547",1,3,24,32,33,4,6,81,554239484
21068,"108,554",2,20,21,26,30,2,10,115,527817203
21067,"254,020",1,4,22,23,34,8,9,59,558289398
21066,"38,691",24,26,29,34,35,9,11,317,506581579
21065,"188,581",23,25,30,31,35,7,8,76,539311034
21064,"229,075",1,17,19,32,34,6,10,60,546378197
21063,"39,778",5,9,14,29,30,9,11,260,500754392
21062,"216,424",4,6,23,32,34,5,7,71,525343538
21061,"115,599",15,19,20,26,32,4,7,100,502877804
21060,"62,392",9,13,25,31,33,3,7,105,509405221
21059,"68,435",4,16,27,28,35,2,9,146,542212081
21058,"313,479",13,15,17,23,34,1,11,53,584612592
21057,"25,278",5,7,19,20,28,5,7,306,527921742
21056,"152,004",3,11,16,21,26,9,10,100,789092340
21055,"156,924",3,6,10,11,24,10,11,100,832841055
21054,"150,382",3,6,17,20,25,3,9,112,830717939
21053,"108,825",3,6,15,17,35,7,11,115,804585433
21052,"159,923",2,11,13,14,30,9,12,99,786688797
21051,"67,730",1,4,14,16,19,3,4,198,758421416
21050,"126,690",9,22,32,33,35,5,10,106,776495378
21049,"171,835",1,10,22,23,25,2,12,95,804858111
21048,"65,650",4,7,17,21,27,10,12,215,743586048
21047,"236,848",1,6,9,25,33,4,8,74,812065710
21046,"94,691",6,8,12,14,18,6,8,113,748366613
21045,"157,653",1,4,6,11,19,7,9,105,786177311
21044,"76,352",6,18,31,33,35,10,11,177,748920583
21043,"81,926",7,12,17,19,34,1,10,173,782390745
21042,"105,679",9,15,20,23,29,4,5,156,871261628
21041,"76,002",2,5,9,11,32,4,9,139,825740751
21040,"99,892",2,3,9,16,19,3,7,136,870795060
21039,"200,165",4,12,14,21,35,2,11,94,909367813
21038,"51,254",9,11,20,29,32,1,7,199,915135532
21037,"188,644",10,21,27,29,33,4,12,69,1031553232
21036,"45,263",8,17,25,28,33,7,11,277,1070761233
21035,"184,089",5,11,16,30,32,3,4,74,1087964692
21034,"194,355",8,10,14,25,34,7,8,71,1088179029
21033,"246,340",1,3,5,30,32,1,5,68,1022165135
21032,"159,729",1,11,14,34,35,7,10,98,1024512097
21031,"20,000",1,4,19,20,34,3,5,430,1003234237
21030,"244,363",18,23,25,26,32,2,7,62,1159086523
21029,"44,429",2,6,10,32,33,4,7,256,1184579107
21028,"114,974",2,3,5,17,29,4,10,114,1148168180
21027,"65,296",9,21,22,26,30,4,12,179,1137674692
21026,"166,283",7,11,20,24,27,1,11,70,1173541384
21025,"307,329",17,18,23,30,31,10,12,50,1148953396
21024,"47,504",11,14,21,24,31,2,10,218,1099396872
21023,"187,612",7,9,13,16,32,2,9,70,1090709660
21022,"302,580",2,12,22,30,33,2,4,51,1060440511
21021,"185,332",16,18,29,33,35,9,12,74,1011996707
21020,"52,410",7,21,22,30,33,4,6,176,986653276
21019,"76,551",1,12,13,28,29,3,4,134,989638020
21018,"174,392",2,20,23,26,34,5,10,75,946984258
21017,"221,277",17,21,26,29,32,2,7,75,961686810
21016,"186,837",8,9,10,19,34,1,2,82,937156414
21015,"37,150",4,8,17,19,25,1,7,259,945589061
21014,"114,748",7,13,20,27,29,4,9,99,997073350
21013,"281,489",21,27,28,30,34,8,11,59,975405452
21012,"124,142",6,12,20,23,33,1,9,93,942151519
21011,"35,220",6,9,11,14,21,1,3,299,903373114
21010,"153,518",1,5,16,22,34,8,11,98,886344174
21009,"112,661",1,3,20,29,32,5,12,103,865327653
21008,"172,279",5,19,20,27,33,3,8,73,821084249
21007,"81,104",5,23,30,34,35,8,10,160,854868061
21006,"176,510",4,22,25,28,35,4,5,67,830578066
21005,"188,779",3,7,10,12,35,3,5,77,782127364
21004,"40,037",5,10,17,23,28,2,8,252,742165174
21003,"182,605",7,21,28,31,35,4,10,66,811003040
21002,"223,170",2,16,26,31,34,9,11,68,825914620
21001,"149,825",2,6,12,19,33,8,9,103,801248468
20134,"70,426",8,11,13,22,25,4,7,135,763061055
20133,"125,950",11,24,26,33,35,8,9,79,802371363
20132,"139,407",3,15,16,17,21,7,10,100,772089653
20131,"157,335",8,25,27,29,35,2,3,84,804095087
20130,"191,821",16,17,23,26,32,2,12,62,788606650
20129,"265,548",10,22,27,33,34,1,11,62,816759358
20128,"249,603",9,12,13,26,33,4,10,55,761816707
20127,"246,627",1,4,17,18,26,3,10,51,723320954
20126,"151,985",1,4,9,22,28,4,12,96,721797952
20125,"188,841",1,2,3,8,22,1,4,73,699959034
20124,"398,755",11,15,24,26,35,4,5,42,671260147
20123,"69,634",1,7,11,15,21,4,11,163,641696961
20122,"50,433",8,19,29,34,35,6,11,145,629576539
20121,"115,346",9,17,27,28,35,3,8,96,658127792
20120,"157,223",5,25,26,30,35,4,10,92,694960351
20119,"175,287",14,22,24,28,32,7,8,63,685541779
20118,"243,507",1,9,15,30,33,4,9,59,691143211
20117,"82,936",7,19,20,23,24,5,10,125,657082925
20116,"166,572",8,10,12,16,22,3,9,73,661279588
20115,"61,470",1,9,18,19,23,1,9,161,663087702
20114,"181,463",10,12,21,24,30,3,7,82,699754234
20113,"105,724",6,14,18,28,33,2,5,121,686105119
20112,"108,341",8,11,13,30,32,2,6,113,670912594
20111,"102,072",5,7,9,20,28,2,7,110,633996339
20110,"132,491",11,16,20,21,28,5,11,83,620860563
20109,"193,802",2,20,21,23,32,6,12,66,616088690
20108,"164,519",2,3,6,7,33,8,9,80,565897074
20107,"33,343",1,4,13,17,28,3,7,193,611359963
20106,"47,698",2,3,11,14,27,4,10,261,676948325
20105,"143,546",3,8,12,13,22,4,12,91,669097276
20104,"93,553",3,12,23,26,30,4,7,119,644732639
20103,"36,228",7,12,13,19,23,2,8,182,929277059
20102,"67,717",7,11,18,20,29,9,12,170,965450649
20101,"118,501",3,4,5,9,34,7,9,109,942455528
20100,"161,287",4,5,8,22,33,7,10,69,936240581
20099,"73,483",2,3,11,15,27,4,12,177,913910111
20098,"49,312",4,9,15,24,35,4,10,195,936316144
20097,"118,681",5,25,27,30,34,6,12,78,963061002
20096,"208,082",7,8,10,25,28,3,11,68,988983176
20095,"91,697",2,18,25,26,32,2,7,113,971831930
20094,"107,925",4,6,7,8,16,2,8,113,986269654
20093,"200,445",6,14,25,27,28,4,11,72,939867946
20092,"204,135",8,11,17,31,35,7,11,62,893054933
20091,"178,853",12,16,20,23,31,5,12,82,863707288
20090,"48,126",5,6,27,28,29,11,12,225,820939645
20089,"336,720",13,16,20,22,27,1,2,44,910070807
20088,"136,300",2,7,23,26,35,1,12,105,868351367
20087,"272,660",1,4,20,23,29,4,8,55,840146319
20086,"133,505",8,11,15,20,28,4,10,95,801056870
20085,"20,000",3,4,11,15,28,2,3,392,817700326
20084,"196,210",2,10,20,24,31,6,12,70,917779486
20083,"298,130",1,2,17,32,34,4,9,56,923726887
20082,"63,356",2,11,12,21,34,4,8,185,913232816
20081,"319,505",1,13,15,32,35,8,10,44,941509338
20080,"80,860",3,6,22,24,25,9,10,129,898072958
20079,"187,470",4,16,24,29,35,2,12,78,941997906
20078,"235,153",14,18,20,28,34,10,11,63,932733358
20077,"213,251",17,23,28,29,32,1,3,65,890203888
20076,"61,724",1,8,18,28,30,10,12,184,827752078
20075,"217,584",2,9,10,21,35,1,7,59,848526595
20074,"66,605",3,9,10,12,21,4,11,166,829434509
20073,"91,542",4,10,12,23,27,8,9,129,857463718
20072,"28,888",11,15,18,20,27,5,6,212,875748466
20071,"171,808",1,12,16,28,33,3,12,75,992189046
20070,"319,597",1,22,30,31,32,4,12,47,1021716141
20069,"160,051",5,7,26,30,31,7,10,73,984516774
20068,"110,818",15,20,23,26,33,2,8,110,963387967
20067,"285,608",1,8,14,16,28,4,10,54,969682196
20066,"230,559",6,14,21,34,35,3,10,56,918419473
20065,"156,336",13,15,26,32,33,5,7,84,905602072
20064,"195,825",5,10,23,34,35,1,11,75,864409231
20063,"284,622",11,18,20,21,33,6,7,48,828120324
20062,"144,275",1,5,14,23,31,2,7,66,811151382
20061,"106,145",7,8,12,21,26,1,6,133,823114481
20060,"112,902",12,14,25,34,35,3,12,109,840309834
20059,"191,667",1,15,22,28,32,3,11,72,845222708
20058,"80,612",1,15,19,26,27,5,10,137,801073309
20057,"120,838",17,20,21,22,31,2,8,93,819749459
20056,"185,738",3,11,25,29,34,3,6,77,788369268
20055,"245,252",3,4,12,18,34,10,12,69,733955513
20054,"119,965",11,14,15,19,20,3,7,109,652393350
20053,"226,197",2,15,18,21,27,3,6,72,660208306
20052,"139,182",9,11,26,28,35,6,7,109,617935817
20051,"83,927",2,7,9,19,33,1,7,135,546514270
20050,"338,385",3,14,16,22,34,2,6,47,519429958
20049,"79,868",3,11,15,22,30,8,10,175,466168612
20048,"145,440",3,9,10,15,16,7,9,92,464779671
20047,"168,127",4,18,27,28,30,3,10,83,459553012
20046,"167,603",15,24,27,30,34,4,12,93,450033830
20045,"22,068",2,9,16,23,27,3,8,351,397099392
20044,"159,905",1,3,22,28,30,2,5,79,793042322
20043,"247,923",12,13,17,31,32,1,6,64,775887380
20042,"20,000",3,4,5,11,22,5,6,1424,712471085
20041,"164,840",7,13,20,29,34,4,7,85,1240028370
20040,"155,828",2,17,20,28,29,1,7,99,1290293247
20039,"200,203",1,5,15,22,31,2,9,82,1252426577
20038,"235,783",4,15,20,22,24,1,9,68,1189804474
20037,"97,469",1,4,10,11,14,2,5,163,1119552352
20036,"152,093",1,5,11,12,26,2,7,99,1165797220
20035,"190,608",10,11,22,26,28,2,4,80,1181117013
20034,"286,379",11,13,20,27,31,2,4,65,1119481106
20033,"143,208",7,19,20,31,34,5,8,96,1148417852
20032,"37,815",2,3,9,16,32,3,4,169,1167303638
20031,"134,204",1,2,5,15,21,4,5,102,1285895989
20030,"71,986",1,8,17,27,30,5,6,154,1308815503
20029,"122,739",11,14,17,22,30,7,9,100,1333962954
20028,"60,732",4,5,28,34,35,1,8,201,1319654038
20027,"168,946",4,7,20,25,32,3,9,76,1403985232
20026,"148,263",3,15,26,32,34,8,12,97,1423923368
20025,"158,628",2,14,21,22,26,5,7,81,1442053199
20024,"56,756",3,5,6,24,30,3,7,143,1437049655
20023,"144,157",4,11,23,26,30,1,6,76,1448119562
20022,"132,699",4,14,20,28,35,2,3,85,1459915832
20021,"94,599",10,12,24,31,33,4,9,129,1418256965
20020,"130,721",8,10,12,26,32,5,9,76,1452932120
20019,"206,046",1,12,22,23,33,1,12,65,1445697714
20018,"160,807",9,14,16,24,26,4,12,69,1443693869
20017,"56,374",1,6,7,9,10,2,11,150,1394320154
20016,"217,312",4,8,19,31,35,1,2,61,1414113824
20015,"280,807",1,7,23,24,26,3,7,42,1389102104
20014,"44,032",3,7,9,17,21,3,6,149,1368119121
20013,"278,794",1,4,5,11,35,3,9,45,1382155015
20012,"268,738",1,6,18,32,34,1,3,35,1417484531
20011,"158,385",2,13,19,22,23,2,7,58,1392702843
20010,"114,765",1,8,13,24,32,2,9,70,1408398439
20009,"152,272",19,29,31,34,35,6,10,102,1426304213
20008,"344,283",14,17,19,24,32,1,6,57,1436007521
20007,"96,229",2,10,19,24,30,5,8,131,1413642399
20006,"118,123",9,22,25,31,32,8,12,106,1474266994
20005,"70,540",6,10,33,34,35,1,3,198,1430492846
20004,"80,526",17,20,21,29,30,5,9,129,1439766324
20003,"333,491",23,25,26,30,34,3,7,52,1441800542
20002,"89,594",3,7,18,25,30,2,7,152,1369911816
20001,"145,642",17,25,26,32,34,4,7,95,1387021575
19150,"114,036",7,11,12,16,33,5,7,115,1347226024
19149,"177,509",1,2,7,33,35,6,10,85,1422864762
19148,"119,722",3,4,7,11,30,8,9,91,1357789884
19147,"108,661",9,12,19,22,33,7,8,101,1365277988
19146,"159,122",10,11,26,33,34,1,6,92,1381880355
19145,"231,444",5,9,19,22,32,3,5,188,1484740052
19144,"220,193",2,5,20,28,31,2,11,153,1542864127
19143,"657,567",4,22,23,24,32,6,12,94,1598566973
19142,"705,678",3,4,26,29,33,6,7,71,1627275281
19141,"378,250",2,10,20,21,35,1,12,135,1655481326
19140,"334,833",3,7,8,25,27,3,5,118,1668432904
19139,"175,769",1,5,7,8,11,6,10,178,1732644632
19138,"319,280",4,6,7,20,29,2,4,164,1807797396
19137,"222,837",3,5,12,13,26,7,12,185,1811011407
19136,"364,978",3,16,20,26,29,3,9,113,1836618363
19135,"544,581",4,5,19,25,26,1,11,87,1952350514
19134,"414,036",5,6,7,14,17,10,11,130,1982686527
19133,"644,929",3,12,24,27,34,1,12,89,2012422203
19132,"519,792",3,5,6,13,18,10,12,101,2031322367
19131,"522,131",5,6,14,27,29,6,10,105,2069940753
19130,"556,878",1,13,20,21,26,4,10,83,2080589741
19129,"245,350",10,13,18,23,30,6,12,167,2091270342
19128,"699,443",20,21,25,34,35,3,12,85,2137001005
19127,"377,119",4,7,8,11,16,9,11,110,2135181961
19126,"205,967",5,9,16,18,30,4,7,150,2177652384
19125,"755,654",5,8,9,14,34,2,5,75,2290847003
19124,"413,450",7,17,26,27,30,6,12,99,2320815917
19123,"379,897",3,13,15,26,30,5,12,100,2325632751
19122,"800,691",5,19,25,31,33,10,11,65,2388431797
19121,"661,861",1,2,3,7,17,4,10,73,2389042428
19120,"417,655",6,15,17,22,25,1,9,97,2417531958
19119,"611,893",3,6,9,23,34,2,11,83,2450995411
19118,"406,469",2,3,13,19,26,2,3,101,2505219109
19117,"806,808",1,18,21,25,35,7,8,66,2510705016
19116,"770,679",2,10,16,21,23,2,12,87,2540591129
19115,"498,979",1,18,21,28,32,5,12,105,2576114778
19114,"710,140",3,5,7,20,23,4,11,75,2618860320
19113,"620,026",3,11,27,34,35,1,2,96,2630473138
19112,"44,488",3,10,16,21,33,5,6,573,2636508289
19111,"523,219",6,15,20,23,27,8,10,91,2773019555
19110,"625,724",1,19,23,24,30,4,5,85,2796874880
19109,"449,539",2,7,8,20,25,11,12,89,2807779067
19108,"818,390",24,27,28,31,34,4,8,55,2810944267
19107,"197,483",5,9,19,27,35,2,3,181,2814001476
19106,"517,027",5,8,10,32,35,2,10,106,2849290615
19105,"286,226",1,4,9,14,17,1,6,151,2849032904
19104,"279,809",2,7,19,22,28,3,5,179,2854646726
19103,"115,804",5,12,22,27,32,4,7,238,2866542333
19102,"238,519",5,10,15,19,31,3,6,180,2971122369
19101,"131,997",5,11,18,19,27,5,6,264,2965514601
19100,"97,237",5,8,12,19,21,6,11,228,3013571194
19099,"60,832",4,6,18,27,33,7,9,345,3199540848
19098,"561,592",13,15,17,19,22,3,4,87,3413905651
19097,"935,083",10,17,20,30,35,10,12,51,3499337221
19096,"527,784",2,12,22,23,27,2,6,96,3519455539
19095,"383,903",3,12,17,19,31,2,6,114,3519353885
19094,"786,871",1,12,14,26,27,7,9,57,3605111819
19093,"284,575",16,17,26,29,35,1,7,113,3598377683
19092,"422,984",2,11,15,27,30,2,5,115,3693574033
19091,"731,621",4,13,20,26,28,3,12,68,3724322763
19090,"1,057,313",13,19,28,30,33,2,12,47,3716328636
19089,"614,487",9,14,18,33,34,3,12,83,3719449576
19088,"627,469",1,5,18,27,33,6,8,76,3755102164
19087,"225,581",5,6,18,19,27,7,12,144,3816395392
19086,"103,760",5,15,16,28,31,2,7,266,3904840978
19085,"441,006",4,5,6,15,26,8,11,97,4061417389
19084,"639,090",12,23,25,34,35,1,7,88,4085660246
19083,"425,427",17,24,26,28,32,7,9,108,4096211433
19082,"611,256",6,18,20,21,31,3,4,74,4117332393
19081,"873,889",6,24,26,30,33,2,7,58,4186160786
19080,"306,022",5,13,18,19,24,2,7,127,4212738028
19079,"704,932",10,13,16,28,35,4,5,75,4282392621
19078,"524,589",5,10,21,26,30,1,7,117,4306208094
19077,"893,219",1,15,17,21,33,7,10,58,4306208094
19076,"740,286",1,6,11,23,29,1,11,68,4297766552
19075,"360,251",5,6,7,11,16,2,11,102,4329058171
19074,"542,497",8,9,13,14,34,5,7,90,4372011525
19073,"176,485",4,11,19,20,24,8,11,176,4382364770
19072,"481,312",2,4,6,9,18,7,10,81,4390457899
19071,"412,686",7,13,14,15,22,7,11,108,4386203654
19070,"1,186,548",2,13,15,22,34,2,12,43,4419628452
19069,"664,345",8,22,23,33,34,4,6,76,4409347604
19068,"570,619",4,5,8,17,27,6,11,71,4527560332
19067,"534,981",3,8,11,15,16,2,10,102,4596914428
19066,"265,113",4,10,11,18,31,5,8,128,4639229846
19065,"491,543",3,8,10,23,27,2,12,102,4677385385
19064,"418,043",7,8,13,19,29,11,12,106,4705583932
19063,"192,105",5,8,15,18,21,4,8,158,4705583932
19062,"242,083",5,16,23,25,28,1,12,170,4764031989
19061,"436,775",1,2,13,14,26,5,11,101,4808403292
19060,"709,472",1,11,12,18,21,8,10,93,4833102719
19059,"362,522",7,8,15,27,32,8,12,127,4833102719
19058,"645,666",3,10,13,14,32,7,11,64,4845045372
19057,"571,549",8,14,16,34,35,6,12,81,4894582543
19056,"521,758",1,7,10,12,23,6,8,100,4915397955
19055,"569,761",2,4,6,19,22,2,6,74,4963149792
19054,"111,076",2,18,23,27,30,5,10,212,4984758180
19053,"626,159",1,11,19,26,35,11,12,94,5323214069
19052,"486,630",4,10,15,20,24,7,11,95,5313363213
19051,"500,949",11,15,16,20,29,4,8,84,5344151471
19050,"1,084,514",4,15,16,20,35,3,12,46,5336065897
19049,"517,399",10,16,22,26,27,7,11,101,5347345506
19048,"229,553",6,10,16,29,33,5,11,175,5385687606
19047,"419,370",3,4,10,16,32,4,9,107,5438181603
19046,"198,355",2,8,14,15,35,10,12,215,5516686407
